,index,along_track,time,x,y,xtilt,atilt,code,shifts,range_shift,npeaks
57,503,6.00212488528867,1696329482.11097,-33.0311886901036,-19.1508637957741,1.38800489902496,1.24589967727661,503kuka_stare_decon_Ku-Scat20231003-103408.nc,38,1.58965576171875,2
58,504,6.00212488528867,1696329482.57598,-33.0311886901036,-19.1508637957741,0.440636485815048,-2.30122399330139,504kuka_stare_decon_Ku-Scat20231003-103408.nc,40,1.60491455078125,2
59,505,6.54437208762877,1696329483.041,-32.8048745831475,-18.657701364602,0.440636485815048,-2.30122399330139,505kuka_stare_decon_Ku-Scat20231003-103408.nc,39,1.59728515625,3
60,506,6.54437208762877,1696329483.50603,-32.8048745831475,-18.657701364602,0.749082028865814,0.364626586437225,506kuka_stare_decon_Ku-Scat20231003-103408.nc,39,1.59728515625,2
61,507,6.73538168552557,1696329483.97111,-32.7274286588654,-18.4828591268742,0.749082028865814,0.364626586437225,507kuka_stare_decon_Ku-Scat20231003-103408.nc,38,1.58965576171875,3
62,508,6.73538168552557,1696329484.43604,-32.7274286588654,-18.4828591268742,-0.0440636463463306,-1.66230082511902,508kuka_stare_decon_Ku-Scat20231003-103408.nc,37,1.5820263671875,4
63,509,7.2095408410204,1696329484.90112,-32.5637417081743,-18.0347850607941,-0.0440636463463306,-1.66230082511902,509kuka_stare_decon_Ku-Scat20231003-103408.nc,37,1.5820263671875,3
64,510,7.2095408410204,1696329485.36499,-32.5637417081743,-18.0347850607941,-0.341493278741837,-0.79204398393631,510kuka_stare_decon_Ku-Scat20231003-103408.nc,38,1.58965576171875,4
65,511,7.65897778558826,1696329485.82994,-32.4013675344177,-17.6139345699921,-0.341493278741837,-0.79204398393631,511kuka_stare_decon_Ku-Scat20231003-103408.nc,37,1.5820263671875,4
66,512,7.65897778558826,1696329486.29484,-32.4013675344177,-17.6139345699921,-0.341493278741837,-0.79204398393631,512kuka_stare_decon_Ku-Scat20231003-103408.nc,38,1.58965576171875,4
67,513,7.92345164660936,1696329486.75989,-32.310350723099,-17.3642003352288,0.374541014432907,0.507833421230316,513kuka_stare_decon_Ku-Scat20231003-103408.nc,38,1.58965576171875,3
68,514,7.92345164660936,1696329487.22498,-32.310350723099,-17.3642003352288,0.374541014432907,0.507833421230316,514kuka_stare_decon_Ku-Scat20231003-103408.nc,38,1.58965576171875,3
69,515,8.14476820795428,1696329487.68972,-32.2317277332768,-17.1564653265523,-0.308445543050766,1.25691556930542,515kuka_stare_decon_Ku-Scat20231003-103408.nc,44,1.63543212890625,3
70,516,8.14476820795428,1696329488.15467,-32.2317277332768,-17.1564653265523,-0.308445543050766,1.25691556930542,516kuka_stare_decon_Ku-Scat20231003-103408.nc,39,1.59728515625,3
71,517,8.14476820795428,1696329488.61911,-32.2317277332768,-17.1564653265523,-0.484700113534927,-0.670868933200836,517kuka_stare_decon_Ku-Scat20231003-103408.nc,40,1.60491455078125,5
72,518,8.47069149325436,1696329489.08394,-32.1204510401003,-16.8484940532362,-0.484700113534927,-0.670868933200836,518kuka_stare_decon_Ku-Scat20231003-103408.nc,39,1.59728515625,3
73,519,8.47069149325436,1696329489.5487,-32.1204510401003,-16.8484940532362,0.59485924243927,1.28996336460114,519kuka_stare_decon_Ku-Scat20231003-103408.nc,40,1.60491455078125,3
74,520,8.73510379520297,1696329490.01384,-32.0063300267793,-16.6099742959486,0.59485924243927,1.28996336460114,520kuka_stare_decon_Ku-Scat20231003-103408.nc,39,1.59728515625,4
75,521,8.73510379520297,1696329490.47882,-32.0063300267793,-16.6099742959486,0.352509170770645,-0.49461442232132,521kuka_stare_decon_Ku-Scat20231003-103408.nc,39,1.59728515625,4
76,522,9.03231896757816,1696329490.94367,-31.8855928797275,-16.3382996291621,0.352509170770645,-0.49461442232132,522kuka_stare_decon_Ku-Scat20231003-103408.nc,38,1.58965576171875,4
77,523,9.03231896757816,1696329491.40855,-31.8855928797275,-16.3382996291621,-0.0440636463463306,-0.34039169549942,523kuka_stare_decon_Ku-Scat20231003-103408.nc,37,1.5820263671875,4
78,524,9.36285726328766,1696329491.87352,-31.7947645988315,-16.0158412241144,-0.0440636463463306,-0.34039169549942,524kuka_stare_decon_Ku-Scat20231003-103408.nc,37,1.5820263671875,4
79,561,9.49446225581517,1696329509.07181,-31.7044296879321,-15.9127899714513,-0.330477356910706,-0.825091898441315,561kuka_stare_decon_Ku-Scat20231003-103408.nc,36,1.57439697265625,3
80,562,9.49446225581517,1696329509.53691,-31.7044296879321,-15.9127899714513,-0.330477356910706,-0.825091898441315,562kuka_stare_decon_Ku-Scat20231003-103408.nc,35,1.566767578125,3
81,563,9.70498572994827,1696329510.00173,-31.6323852161877,-15.7140594120137,-1.18971848487854,-1.66230082511902,563kuka_stare_decon_Ku-Scat20231003-103408.nc,35,1.566767578125,3
82,564,9.70498572994827,1696329510.46707,-31.6323852161877,-15.7140594120137,-1.18971848487854,-1.66230082511902,564kuka_stare_decon_Ku-Scat20231003-103408.nc,35,1.566767578125,3
83,565,10.2466872346915,1696329510.93187,-31.417648088187,-15.216490444378,-1.89473688602448,-2.65373301506042,565kuka_stare_decon_Ku-Scat20231003-103408.nc,36,1.57439697265625,4
84,566,10.2466872346915,1696329511.3969,-31.417648088187,-15.216490444378,-1.89473688602448,-2.65373301506042,566kuka_stare_decon_Ku-Scat20231003-103408.nc,35,1.566767578125,2
85,597,10.1582077258461,1696329525.80644,-31.4654786847532,-15.2918293902185,-1.21175026893616,-0.0539780147373676,597kuka_stare_decon_Ku-Scat20231003-103408.nc,35,1.566767578125,3
86,598,10.1582077258461,1696329526.27144,-31.4654786847532,-15.2918293902185,-1.21175026893616,-0.0539780147373676,598kuka_stare_decon_Ku-Scat20231003-103408.nc,43,1.627802734375,3
87,599,10.4385909347344,1696329526.736,-31.3485713228583,-15.0369786769152,-1.21175026893616,-0.0539780147373676,599kuka_stare_decon_Ku-Scat20231003-103408.nc,35,1.566767578125,3
88,600,10.4385909347344,1696329527.20101,-31.3485713228583,-15.0369786769152,-2.05997562408447,-0.979314625263214,600kuka_stare_decon_Ku-Scat20231003-103408.nc,36,1.57439697265625,3
89,601,10.8195999229925,1696329527.66586,-31.1826085406356,-14.6939607741078,-2.05997562408447,-0.979314625263214,601kuka_stare_decon_Ku-Scat20231003-103408.nc,36,1.57439697265625,3
90,602,10.8195999229925,1696329528.13068,-31.1826085406356,-14.6939607741078,-1.64137089252472,0.39767450094223,602kuka_stare_decon_Ku-Scat20231003-103408.nc,37,1.5820263671875,4
91,603,10.8195999229925,1696329528.59543,-31.1826085406356,-14.6939607741078,-1.64137089252472,0.39767450094223,603kuka_stare_decon_Ku-Scat20231003-103408.nc,38,1.58965576171875,2
92,604,11.4398330379318,1696329529.06034,-30.902760328725,-14.1400938626612,-0.947368443012238,-1.57417368888855,604kuka_stare_decon_Ku-Scat20231003-103408.nc,37,1.5820263671875,3
93,605,11.4398330379318,1696329529.52514,-30.902760328725,-14.1400938626612,-0.947368443012238,-1.57417368888855,605kuka_stare_decon_Ku-Scat20231003-103408.nc,37,1.5820263671875,3
94,606,12.064402302036,1696329529.98998,-30.6620385604911,-13.5632279718993,-0.165238678455353,0.463769853115082,606kuka_stare_decon_Ku-Scat20231003-103408.nc,38,1.58965576171875,5
95,607,12.064402302036,1696329530.45525,-30.6620385604911,-13.5632279718993,-0.165238678455353,0.463769853115082,607kuka_stare_decon_Ku-Scat20231003-103408.nc,39,1.59728515625,3
96,608,12.5892095348581,1696329530.91998,-30.4747576727532,-13.07163096976,-0.0881272926926613,0.496817529201508,608kuka_stare_decon_Ku-Scat20231003-103408.nc,39,1.59728515625,3
