,level_0,index,atilt,code,shifts,range_shift,npeaks
201,201,403,1.17980420589447,403kuka_stare_decon_Ku-Scat20231003-133409.nc,41,1.6125439453125,3
202,202,404,1.17980420589447,404kuka_stare_decon_Ku-Scat20231003-133409.nc,40,1.60491455078125,3
203,203,405,1.45520198345184,405kuka_stare_decon_Ku-Scat20231003-133409.nc,40,1.60491455078125,4
204,204,406,1.45520198345184,406kuka_stare_decon_Ku-Scat20231003-133409.nc,40,1.60491455078125,2
205,205,407,1.73059976100922,407kuka_stare_decon_Ku-Scat20231003-133409.nc,39,1.59728515625,4
206,206,496,0.320563018321991,496kuka_stare_decon_Ku-Scat20231003-133409.nc,38,1.58965576171875,3
207,207,497,0.419706284999847,497kuka_stare_decon_Ku-Scat20231003-133409.nc,39,1.59728515625,5
208,208,498,0.419706284999847,498kuka_stare_decon_Ku-Scat20231003-133409.nc,39,1.59728515625,3
209,209,500,-0.538677990436554,500kuka_stare_decon_Ku-Scat20231003-133409.nc,40,1.60491455078125,5
210,210,501,-1.00134634971619,501kuka_stare_decon_Ku-Scat20231003-133409.nc,39,1.59728515625,3
211,211,502,-1.00134634971619,502kuka_stare_decon_Ku-Scat20231003-133409.nc,38,1.58965576171875,3
212,212,504,0.111260607838631,504kuka_stare_decon_Ku-Scat20231003-133409.nc,38,1.58965576171875,4
213,213,505,0.111260607838631,505kuka_stare_decon_Ku-Scat20231003-133409.nc,36,1.57439697265625,5
214,214,506,-1.06744170188904,506kuka_stare_decon_Ku-Scat20231003-133409.nc,37,1.5820263671875,5
215,215,507,-1.06744170188904,507kuka_stare_decon_Ku-Scat20231003-133409.nc,36,1.57439697265625,2
216,216,508,-0.604773581027985,508kuka_stare_decon_Ku-Scat20231003-133409.nc,38,1.58965576171875,4
217,217,509,-0.604773581027985,509kuka_stare_decon_Ku-Scat20231003-133409.nc,40,1.60491455078125,3
218,218,510,-1.25471234321594,510kuka_stare_decon_Ku-Scat20231003-133409.nc,37,1.5820263671875,3
219,219,511,-1.25471234321594,511kuka_stare_decon_Ku-Scat20231003-133409.nc,37,1.5820263671875,5
220,220,512,-1.43096709251404,512kuka_stare_decon_Ku-Scat20231003-133409.nc,37,1.5820263671875,4
221,221,513,-1.43096709251404,513kuka_stare_decon_Ku-Scat20231003-133409.nc,39,1.59728515625,3
222,222,515,-1.44198298454285,515kuka_stare_decon_Ku-Scat20231003-133409.nc,39,1.59728515625,4
223,223,516,-1.44198298454285,516kuka_stare_decon_Ku-Scat20231003-133409.nc,40,1.60491455078125,5
224,224,517,-1.55214190483093,517kuka_stare_decon_Ku-Scat20231003-133409.nc,39,1.59728515625,4
225,225,518,-1.55214190483093,518kuka_stare_decon_Ku-Scat20231003-133409.nc,39,1.59728515625,5
226,226,519,1.47723388671875,519kuka_stare_decon_Ku-Scat20231003-133409.nc,38,1.58965576171875,4
227,227,520,1.47723388671875,520kuka_stare_decon_Ku-Scat20231003-133409.nc,38,1.58965576171875,2
228,228,521,-0.142105147242546,521kuka_stare_decon_Ku-Scat20231003-133409.nc,37,1.5820263671875,4
229,229,522,-0.142105147242546,522kuka_stare_decon_Ku-Scat20231003-133409.nc,37,1.5820263671875,2
230,230,524,-2.05887389183044,524kuka_stare_decon_Ku-Scat20231003-133409.nc,36,1.57439697265625,4
231,231,525,0.948470056056976,525kuka_stare_decon_Ku-Scat20231003-133409.nc,36,1.57439697265625,4
232,232,526,0.948470056056976,526kuka_stare_decon_Ku-Scat20231003-133409.nc,35,1.566767578125,4
233,233,527,0.948470056056976,527kuka_stare_decon_Ku-Scat20231003-133409.nc,36,1.57439697265625,5
234,234,528,-0.329375803470612,528kuka_stare_decon_Ku-Scat20231003-133409.nc,35,1.566767578125,5
235,235,529,-0.329375803470612,529kuka_stare_decon_Ku-Scat20231003-133409.nc,35,1.566767578125,3
236,236,530,2.09412479400635,530kuka_stare_decon_Ku-Scat20231003-133409.nc,33,1.5515087890625,4
237,237,531,2.09412479400635,531kuka_stare_decon_Ku-Scat20231003-133409.nc,33,1.5515087890625,3
238,238,532,0.320563018321991,532kuka_stare_decon_Ku-Scat20231003-133409.nc,33,1.5515087890625,3
239,239,533,0.320563018321991,533kuka_stare_decon_Ku-Scat20231003-133409.nc,34,1.55913818359375,2
240,240,534,1.13574051856995,534kuka_stare_decon_Ku-Scat20231003-133409.nc,33,1.5515087890625,4
241,241,535,1.13574051856995,535kuka_stare_decon_Ku-Scat20231003-133409.nc,33,1.5515087890625,3
242,242,536,1.00354957580566,536kuka_stare_decon_Ku-Scat20231003-133409.nc,34,1.55913818359375,2
243,243,537,1.00354957580566,537kuka_stare_decon_Ku-Scat20231003-133409.nc,33,1.5515087890625,3
244,244,538,1.00354957580566,538kuka_stare_decon_Ku-Scat20231003-133409.nc,32,1.54387939453125,2
245,245,539,1.81872701644897,539kuka_stare_decon_Ku-Scat20231003-133409.nc,31,1.53625,3
246,246,540,1.81872701644897,540kuka_stare_decon_Ku-Scat20231003-133409.nc,31,1.53625,3
247,247,541,0.959485948085785,541kuka_stare_decon_Ku-Scat20231003-133409.nc,31,1.53625,3
248,248,546,0.69510406255722,546kuka_stare_decon_Ku-Scat20231003-133409.nc,31,1.53625,3
249,249,547,0.827295005321503,547kuka_stare_decon_Ku-Scat20231003-133409.nc,32,1.54387939453125,3
250,250,548,0.827295005321503,548kuka_stare_decon_Ku-Scat20231003-133409.nc,47,1.6583203125,2
251,251,599,-0.10905747115612,599kuka_stare_decon_Ku-Scat20231003-133409.nc,65,1.7956494140625,1
