,hh,hv,vv,vh
194,-2.471923828125,-2.47955322265625,-2.471923828125,-2.471923828125
195,-2.46429443359375,-2.471923828125,-2.46429443359375,-2.46429443359375
196,-2.4566650390625,-2.46429443359375,-2.4566650390625,-2.4566650390625
197,-2.44903564453125,-2.4566650390625,-2.44903564453125,-2.44903564453125
198,-2.44140625,-2.44903564453125,-2.44140625,-2.44140625
199,-2.43377685546875,-2.44140625,-2.43377685546875,-2.43377685546875
200,-2.4261474609375,-2.43377685546875,-2.4261474609375,-2.4261474609375
201,-2.41851806640625,-2.4261474609375,-2.41851806640625,-2.41851806640625
202,-2.410888671875,-2.41851806640625,-2.410888671875,-2.410888671875
203,-2.40325927734375,-2.410888671875,-2.40325927734375,-2.40325927734375
204,-2.3956298828125,-2.40325927734375,-2.3956298828125,-2.3956298828125
205,-2.38800048828125,-2.3956298828125,-2.38800048828125,-2.38800048828125
206,-2.38037109375,-2.38800048828125,-2.38037109375,-2.38037109375
207,-2.37274169921875,-2.38037109375,-2.37274169921875,-2.37274169921875
208,-2.3651123046875,-2.37274169921875,-2.3651123046875,-2.3651123046875
209,-2.35748291015625,-2.3651123046875,-2.35748291015625,-2.35748291015625
210,-2.349853515625,-2.35748291015625,-2.349853515625,-2.349853515625
211,-2.34222412109375,-2.349853515625,-2.34222412109375,-2.34222412109375
212,-2.3345947265625,-2.34222412109375,-2.3345947265625,-2.3345947265625
213,-2.32696533203125,-2.3345947265625,-2.32696533203125,-2.32696533203125
214,-2.3193359375,-2.32696533203125,-2.3193359375,-2.3193359375
215,-2.31170654296875,-2.3193359375,-2.31170654296875,-2.31170654296875
216,-2.3040771484375,-2.31170654296875,-2.3040771484375,-2.3040771484375
217,-2.29644775390625,-2.3040771484375,-2.29644775390625,-2.29644775390625
218,-2.288818359375,-2.29644775390625,-2.288818359375,-2.288818359375
219,-2.28118896484375,-2.288818359375,-2.28118896484375,-2.28118896484375
220,-2.2735595703125,-2.28118896484375,-2.2735595703125,-2.2735595703125
221,-2.26593017578125,-2.2735595703125,-2.26593017578125,-2.26593017578125
222,-2.25830078125,-2.26593017578125,-2.25830078125,-2.25830078125
223,-2.25067138671875,-2.25830078125,-2.25067138671875,-2.25067138671875
224,-2.2430419921875,-2.25067138671875,-2.2430419921875,-2.2430419921875
225,-2.23541259765625,-2.2430419921875,-2.23541259765625,-2.23541259765625
226,-2.227783203125,-2.23541259765625,-2.227783203125,-2.227783203125
227,-2.22015380859375,-2.227783203125,-2.22015380859375,-2.22015380859375
228,-2.2125244140625,-2.22015380859375,-2.2125244140625,-2.2125244140625
229,-2.20489501953125,-2.2125244140625,-2.20489501953125,-2.20489501953125
230,-2.197265625,-2.20489501953125,-2.197265625,-2.197265625
231,-2.18963623046875,-2.197265625,-2.18963623046875,-2.18963623046875
232,-2.1820068359375,-2.18963623046875,-2.1820068359375,-2.1820068359375
233,-2.17437744140625,-2.1820068359375,-2.17437744140625,-2.17437744140625
234,-2.166748046875,-2.17437744140625,-2.166748046875,-2.166748046875
235,-2.15911865234375,-2.166748046875,-2.15911865234375,-2.15911865234375
236,-2.1514892578125,-2.15911865234375,-2.1514892578125,-2.1514892578125
237,-2.14385986328125,-2.1514892578125,-2.14385986328125,-2.14385986328125
238,-2.13623046875,-2.14385986328125,-2.13623046875,-2.13623046875
239,-2.12860107421875,-2.13623046875,-2.12860107421875,-2.12860107421875
