,hh,hv,vv,vh
56,-3.4332275390625,-3.4332275390625,-3.4332275390625,-3.42864990234375
57,-3.42864990234375,-3.42864990234375,-3.42864990234375,-3.424072265625
58,-3.424072265625,-3.424072265625,-3.424072265625,-3.41949462890625
59,-3.41949462890625,-3.41949462890625,-3.41949462890625,-3.4149169921875
60,-3.4149169921875,-3.4149169921875,-3.4149169921875,-3.41033935546875
61,-3.41033935546875,-3.41033935546875,-3.41033935546875,-3.40576171875
62,-3.40576171875,-3.40576171875,-3.40576171875,-3.40118408203125
63,-3.40118408203125,-3.40118408203125,-3.40118408203125,-3.3966064453125
64,-3.3966064453125,-3.3966064453125,-3.3966064453125,-3.39202880859375
65,-3.39202880859375,-3.39202880859375,-3.39202880859375,-3.387451171875
66,-3.387451171875,-3.387451171875,-3.387451171875,-3.38287353515625
67,-3.38287353515625,-3.38287353515625,-3.38287353515625,-3.3782958984375
68,-3.3782958984375,-3.3782958984375,-3.3782958984375,-3.37371826171875
69,-3.37371826171875,-3.37371826171875,-3.37371826171875,-3.369140625
70,-3.369140625,-3.369140625,-3.369140625,-3.36456298828125
71,-3.36456298828125,-3.36456298828125,-3.36456298828125,-3.3599853515625
72,-3.3599853515625,-3.3599853515625,-3.3599853515625,-3.35540771484375
73,-3.35540771484375,-3.35540771484375,-3.35540771484375,-3.350830078125
74,-3.350830078125,-3.350830078125,-3.350830078125,-3.34625244140625
75,-3.34625244140625,-3.34625244140625,-3.34625244140625,-3.3416748046875
76,-3.3416748046875,-3.3416748046875,-3.3416748046875,-3.33709716796875
77,-3.33709716796875,-3.33709716796875,-3.33709716796875,-3.33251953125
78,-3.33251953125,-3.33251953125,-3.33251953125,-3.32794189453125
79,-3.32794189453125,-3.32794189453125,-3.32794189453125,-3.3233642578125
80,-3.3233642578125,-3.3233642578125,-3.3233642578125,-3.31878662109375
81,-3.31878662109375,-3.31878662109375,-3.31878662109375,-3.314208984375
82,-3.314208984375,-3.314208984375,-3.314208984375,-3.30963134765625
83,-3.30963134765625,-3.30963134765625,-3.30963134765625,-3.3050537109375
84,-3.3050537109375,-3.3050537109375,-3.3050537109375,-3.30047607421875
85,-3.30047607421875,-3.30047607421875,-3.30047607421875,-3.2958984375
86,-3.2958984375,-3.2958984375,-3.2958984375,-3.29132080078125
